layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,max_rand_eval,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rand_W_scale,rand_bulk_max,rand_bulk_min,rand_distance,rand_mp_softrank,rand_num_spikes,rand_sigma_mp,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,ww_maxdist,ww_softrank,xmax,xmin
32,Linear,0.06672546768520693,768,768,1.0,1.2697859106702194,3.109551434874643,2.5181575127574556,2.533065527279458,0.0,0.9298293938674508,True,6.4537739753723145,dense,3.534526664844032,2.677900212217666,0.8098137514354933,encoder.layer.1.attention.self.value,768,2.482183,0.3924936846170426,476.3215298996769,768,92,32,1.269772966737412,2.5167671414701966,0.0,0.1259514698022405,1.0139329623041151,0,1.0072043638171595,0,1,0.2199359406830738,1.0104706894815862,6.4537739753723145,73.80511491684184,success,2.5404279232025146,0.000610145041719079,,1,4.0198681354522705,0.37712907969939147,6.4537739753723145,1.512376308441162
35,Linear,0.0691556531560249,768,768,1.0,1.286321971863938,2.576465096319542,2.041172271909239,2.467599718232631,0.0,0.9247252570192396,True,6.197799205780029,dense,3.247394086531208,2.666661844126834,0.7922375020042135,encoder.layer.1.attention.output.dense,768,2.393332,0.3981412814941411,464.15372922653995,768,151,37,1.2863024796912292,2.451939800799143,0.0,0.13848860183244793,1.0244879507484437,0,1.007089372124976,0,1,0.12829091010404073,1.0103155753841215,6.197799205780029,74.89008820964594,success,2.4895379543304443,0.0008145454339683056,,1,3.7638258934020996,0.3927157417600785,6.197799205780029,0.9677956104278564
39,Linear,0.04528312776642618,768,3072,4.0,0.4589543072692571,2.6977754831165326,5.942087409067264,8.449024333339306,0.9387804814821451,0.9725599680399465,True,159.4365234375,dense,6.123845444204829,3.561822319931346,2.2025878158707366,encoder.layer.1.intermediate.dense,768,10.559288,0.0529930291452408,3646.0474804490805,768,39,55,0.45895000533445235,10.700118775155609,1.188902086128401,0.17721706145386548,1.0133371445045478,0,1.0008486770647624,0,1,0.2718616536869902,0.8893679431186434,159.4365234375,22.86833281257761,success,12.62681770324707,0.435213565826416,,0,148.76300144195557,0.06694527555807195,159.4365234375,9.959575653076172
42,Linear,0.030279360593574833,768,3072,4.0,0.47599727382791535,3.7309513946775223,7.159885950773568,7.560748230672293,0.8400831367413659,0.9921769514003649,True,82.99481964111328,dense,7.240345179427902,3.5301522892328934,1.9190509854906377,encoder.layer.1.output.dense,768,11.539103,0.09109903802871708,3389.6299569904804,768,111,92,0.47599416327601846,9.966529699572584,1.1073921888413982,0.1193789910641612,0.8637179236993789,2,1.0018030531479751,0,1,0.2592104352269609,0.8725605916278742,82.99481964111328,40.84146422207964,success,9.110149383544922,0.3725458085536957,,0,71.7300615310669,0.1357284485797731,82.99481964111328,7.432948112487793
48,Linear,0.06671457708421136,768,768,1.0,0.754618713286158,2.434412643856139,4.455081820821425,6.91973196832747,0.0,0.8690786514114431,True,67.61511993408203,dense,4.970837894157432,3.1299060784760964,1.8300438227122091,encoder.layer.2.attention.self.query,768,7.039243,0.1023400087890625,1348.671184317707,768,185,25,0.7546015550202972,7.1233451707012785,0.0,0.2558181262408544,1.0119475839624406,0,1.0070005198019685,1,1,0.1054601149879271,0.9925267294159522,67.61511993408203,19.946295823072212,success,8.222841262817383,0.00017968557949643582,,1,60.750574588775635,0.10152382118080454,67.61511993408203,1.974036693572998
49,Linear,0.05340804903653129,768,768,1.0,0.7720576136721092,2.418352961318976,4.238212462835046,6.624341183706858,0.0,0.8636309427353183,True,56.56140899658203,dense,4.8586951442508886,3.1100617997583115,1.7525202195975205,encoder.layer.2.attention.self.key,768,6.686386,0.1171176832618714,1288.4328816201664,768,161,23,0.7720442913114499,6.8061363151552445,0.0,0.26365745048490574,1.017909556046486,0,1.007076685508249,1,1,0.11178187285355297,0.9935530496236,56.56140899658203,22.779363252744034,success,7.5207319259643555,6.287904398050159e-05,,1,49.93311548233032,0.11718756006683377,56.56140899658203,2.117751359939575
50,Linear,0.08532737596213963,768,768,1.0,1.290265886477166,2.684311050691458,2.1801123030642326,2.465172457961745,0.0,0.9300399647248808,True,6.488858222961426,dense,3.253294064578599,2.664002789927273,0.8121682852300789,encoder.layer.2.attention.self.value,768,2.4006834,0.3799085098266601,461.32053809473337,768,152,34,1.2902536960240285,2.436516918406584,0.0,0.12517281520749562,1.0149263811073306,0,1.0070008376545385,1,1,0.13661566613470807,1.0129146975564876,6.488858222961426,71.09425452729232,success,2.547323703765869,0.00020118003885727376,,1,4.113262891769409,0.3661037503925964,6.488858222961426,0.994491457939148
53,Linear,0.07385412284108905,768,768,1.0,1.3290141830584847,5.462910122207384,4.311176892600501,2.3339040163675464,0.0,0.9328678551722441,True,6.154208660125732,dense,4.737129232841117,2.6383019886333785,0.7891722170341134,encoder.layer.2.attention.output.dense,768,2.265291,0.379237062839508,434.81246789340406,768,17,30,1.3290142918160102,2.2955034886567107,0.0,0.11485624424100171,1.013337144504547,0,1.006789399347438,0,1,1.082414695970545,1.0151754711729857,6.154208660125732,70.65286406530791,success,2.4807677268981934,0.0005012855399399996,,1,3.913961410522461,0.3640187347104839,6.154208660125732,2.9811527729034424
57,Linear,0.028818178861787447,768,3072,4.0,0.4515066347016122,3.037690258800073,6.707801883443279,8.272249045472511,0.9191387828302789,0.9744647567752222,True,161.50706481933594,dense,6.770298756787379,3.5760329470862677,2.208191524468643,encoder.layer.2.intermediate.dense,768,10.87402,0.05121911573791503,3767.3237812519073,768,209,74,0.4515031837138836,11.105590351438277,1.233954483493142,0.17143012850502637,1.0212957799110405,0,1.0030911132256433,0,1,0.14094998248910154,0.865734406542136,161.50706481933594,23.32606183801364,success,12.708542823791504,0.4795459806919098,,0,150.58729934692383,0.06761168921388741,161.50706481933594,5.470849514007568
60,Linear,0.019750712615726862,768,3072,4.0,0.47110245592891015,3.5012448081038223,6.389184375222983,7.900564163870946,0.8778404626523274,0.9927996779536594,True,66.80857849121094,dense,6.615640125399189,3.5391304834565793,1.8248322312209835,encoder.layer.2.output.dense,768,17.133444,0.11825673202896111,3460.433306723833,768,106,83,0.4711001397455006,10.098984053197983,1.12210933924422,0.11594525646055248,0.5894310654640202,2,0.9980695759199917,0,1,0.24294237204057506,0.882781374367382,66.80857849121094,51.79624211251664,success,8.173651695251465,0.3840887248516083,,0,49.591257095336914,0.2577112368606834,66.80857849121094,7.531229019165039
66,Linear,0.03493611748202441,768,768,1.0,0.8375683581822791,2.8357390469619554,3.726350623562438,5.789200226211547,0.0,0.9202394404352962,True,20.60947036743164,dense,4.561474376594607,3.039320695790231,1.3140668312038908,encoder.layer.3.attention.self.query,768,5.6353183,0.2809,1094.764474084703,768,119,30,0.8375593365272802,5.782320651055434,0.0,0.1511364998348867,1.0260859040260304,0,1.0070167031569284,1,1,0.16828192252860255,1.0076264326854263,20.60947036743164,53.11948606960407,success,4.539765357971191,0.0003589913831092417,,1,14.839951515197754,0.2799450325201582,20.60947036743164,2.79439640045166
67,Linear,0.03931257423745427,768,768,1.0,0.8410184458627875,2.8402907247927525,4.275839247751599,5.695887882138666,0.0,0.9090766781202313,True,32.0201301574707,dense,4.823347770361754,3.0357501776661966,1.5054230929348242,encoder.layer.3.attention.self.key,768,5.58268,0.17788459491348269,1085.8008509166675,768,121,25,0.8410054990113497,5.735004694663048,0.0,0.17898271992570308,1.0272851861724848,0,1.007014510894832,0,1,0.16729915679934113,1.0035898065678408,32.0201301574707,33.90994494953158,success,5.658633232116699,0.0008361866348423064,,1,26.410154819488525,0.17520151574628434,32.0201301574707,2.6746132373809814
